Gene,Name
CYP2A6,Normal
CYP2A6,WholeDel1
CYP2A6,WholeDel1Hom
CYP2A6,WholeDel2
CYP2A6,WholeDel2Hom
CYP2A6,WholeDel3
CYP2A6,WholeDup1
CYP2A6,WholeDup2
CYP2A6,WholeDup3
CYP2A6,Hybrid1
CYP2A6,Hybrid2
CYP2A6,Hybrid2Hom
CYP2A6,Hybrid3
CYP2A6,Hybrid4
CYP2A6,Hybrid5
CYP2A6,Hybrid6
CYP2A6,Hybrid7
CYP2A6,Tandem1
CYP2A6,Tandem2
CYP2A6,ParalogWholeDel1
CYP2A6,ParalogWholeDup1
CYP2A6,Unknown1
CYP2B6,Normal
CYP2B6,WholeDup1
CYP2B6,Hybrid1
CYP2B6,Tandem1
CYP2B6,PartialDup1
CYP2B6,PartialDup2
CYP2B6,ParalogWholeDel1
CYP2D6,Normal
CYP2D6,WholeDel1
CYP2D6,WholeDel1Hom
CYP2D6,WholeDup1
CYP2D6,WholeMultip1
CYP2D6,Tandem1A
CYP2D6,Tandem1B
CYP2D6,Tandem2A
CYP2D6,Tandem2B
CYP2D6,Tandem2C
CYP2D6,Tandem2F
CYP2D6,Tandem3
CYP2D6,Tandem4
CYP2D6,WholeDel1+Tandem1A
CYP2D6,WholeDup1+Tandem1A
CYP2D6,ParalogPartialDel1
CYP2D6,WholeDel1+Tandem3
CYP2D6,Unknown1
CYP2D6,Unknown2
CYP2E1,Normal
CYP2E1,WholeDel1
CYP2E1,WholeDup1
CYP2E1,WholeDup2
CYP2E1,PartialDup1
CYP2E1,PartialDup1Hom
CYP2E1,WholeMultip1
CYP2E1,WholeMultip2
CYP2E1,WholeDup1+PartialDup1
CYP4F2,Normal
CYP4F2,WholeDel1
G6PD,Female
G6PD,Male
GSTM1,Normal
GSTM1,WholeDel1
GSTM1,WholeDel1Hom
GSTM1,WholeDel2
GSTM1,WholeDup1
GSTM1,NoncodingDel1
GSTM1,WholeDel1+NoncodingDel1
GSTM1,PartialDup1
GSTM1,WholeDel1+WholeDel2
GSTT1,Normal
GSTT1,WholeDel1
GSTT1,WholeDel1Hom
SLC22A2,Normal
SLC22A2,NoncodingDel1
SLC22A2,NoncodingDel1Hom
SLC22A2,PartialDel1
SLC22A2,NoncodingDel1+PartialDel1
SLC22A2,PartialDup1
SULT1A1,Normal
SULT1A1,WholeDel1
SULT1A1,WholeDel1Hom
SULT1A1,WholeDup1
SULT1A1,WholeMultip1
SULT1A1,WholeMultip2
SULT1A1,Unknown1
SULT1A1,Unknown2
SULT1A1,Unknown3
SULT1A1,Unknown4
UGT1A4,Normal
UGT1A4,NoncodingDel1
UGT1A4,NoncodingDel1Hom
UGT1A4,NoncodingDel2
UGT1A4,NoncodingDup1
UGT2B15,Normal
UGT2B15,WholeDel1
UGT2B15,WholeDel2
UGT2B15,WholeDup1
UGT2B15,PartialDel1
UGT2B15,PartialDel2
UGT2B15,PartialDel3
UGT2B15,PartialDup1
UGT2B15,PartialDup2
UGT2B17,Normal
UGT2B17,WholeDel1
UGT2B17,WholeDel1Hom
UGT2B17,PartialDel2
UGT2B17,PartialDel3
UGT2B17,WholeDel1+PartialDel1
UGT2B17,WholeDel1+PartialDel2
UGT2B17,WholeDel1+PartialDel3
